"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","X1","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X2","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X3","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X4","X40","X41","X42","X43","X44","X45","X46","X47","X48","X49","X5","X50","X51","X52","X53","X54","X55","X56","X57","X58","X59","X6","X60","X61","X62","X63","X64","X65","X66","X67","X68","X69","X7","X70","X71","X72","X73","X74","X75","X76","X77","X78","X79","X8","X80","X81","X82","X83","X84","X85","X86","X87","X88","X89","X9","X90","X91","X92","X93","X94","X95","X96"
"group_197","","hypothetical protein","21","21","1","1","902","1","300","","518","518","518","","PLOJBKHJ_00031","DEFAMCNH_00055","","","","ALGMKNDJ_00016","JEAPEHFJ_00022","","","KGBJOEEA_00025","","","","","","","","","","","","","","NCPNAPJH_00016","NCHJCFBK_00038","ICMKHOEH_00031","","","","","NECFICIE_00016","","","","","NPFBJGGD_00031","","","","","","","MDKGMOKN_00031","","","","","PKPNPOGM_00025","","","OCHLMLOL_00031","","","","JMBMBIIH_00016","","","BMJNPGDH_00015","PPENBANP_00016","","","GBDOALGK_00016","","","","","","","","","BGEGJEIL_00094","","","","","","","NMADALPM_00028","","","","APJAMGLI_00034","","","","","","","","","","","","MHGPHFPL_00065",""
"group_198","","tail assembly chaperone","21","21","1","1","898","1","296","","311","464","318","","PLOJBKHJ_00035","DEFAMCNH_00051","","","","ALGMKNDJ_00012","JEAPEHFJ_00026","","","KGBJOEEA_00029","","","","","","","","","","","","","","NCPNAPJH_00012","NCHJCFBK_00042","ICMKHOEH_00035","","","","","NECFICIE_00012","","","","","NPFBJGGD_00035","","","","","","","MDKGMOKN_00035","","","","","PKPNPOGM_00029","","","OCHLMLOL_00035","","","","JMBMBIIH_00012","","","BMJNPGDH_00011","PPENBANP_00012","","","GBDOALGK_00012","","","","","","","","","BGEGJEIL_00090","","","","","","","NMADALPM_00024","","","","APJAMGLI_00030","","","","","","","","","","","","MHGPHFPL_00061",""
"group_199","","minor tail protein","21","21","1","1","895","1","293","","377","377","377","","PLOJBKHJ_00038","DEFAMCNH_00048","","","","ALGMKNDJ_00009","JEAPEHFJ_00029","","","KGBJOEEA_00032","","","","","","","","","","","","","","NCPNAPJH_00009","NCHJCFBK_00045","ICMKHOEH_00038","","","","","NECFICIE_00009","","","","","NPFBJGGD_00038","","","","","","","MDKGMOKN_00038","","","","","PKPNPOGM_00032","","","OCHLMLOL_00038","","","","JMBMBIIH_00009","","","BMJNPGDH_00008","PPENBANP_00009","","","GBDOALGK_00009","","","","","","","","","BGEGJEIL_00087","","","","","","","NMADALPM_00021","","","","APJAMGLI_00027","","","","","","","","","","","","MHGPHFPL_00058",""
"group_200","","head-to-tail adaptor","21","21","1","1","892","1","290","","572","572","572","","PLOJBKHJ_00041","DEFAMCNH_00045","","","","ALGMKNDJ_00006","JEAPEHFJ_00032","","","KGBJOEEA_00035","","","","","","","","","","","","","","NCPNAPJH_00006","NCHJCFBK_00048","ICMKHOEH_00041","","","","","NECFICIE_00006","","","","","NPFBJGGD_00041","","","","","","","MDKGMOKN_00041","","","","","PKPNPOGM_00035","","","OCHLMLOL_00041","","","","JMBMBIIH_00006","","","BMJNPGDH_00005","PPENBANP_00006","","","GBDOALGK_00006","","","","","","","","","BGEGJEIL_00084","","","","","","","NMADALPM_00018","","","","APJAMGLI_00024","","","","","","","","","","","","MHGPHFPL_00055",""
"group_201","","scaffolding protein","21","21","1","1","890","1","288","","614","620","614","","PLOJBKHJ_00043","DEFAMCNH_00043","","","","ALGMKNDJ_00004","JEAPEHFJ_00034","","","KGBJOEEA_00037","","","","","","","","","","","","","","NCPNAPJH_00004","NCHJCFBK_00050","ICMKHOEH_00043","","","","","NECFICIE_00004","","","","","NPFBJGGD_00043","","","","","","","MDKGMOKN_00043","","","","","PKPNPOGM_00037","","","OCHLMLOL_00043","","","","JMBMBIIH_00004","","","BMJNPGDH_00003","PPENBANP_00004","","","GBDOALGK_00004","","","","","","","","","BGEGJEIL_00082","","","","","","","NMADALPM_00016","","","","APJAMGLI_00022","","","","","","","","","","","","MHGPHFPL_00053",""
"group_27","","tapemeasure","21","21","1","1","899","1","297","","3998","4013","4010","","PLOJBKHJ_00034","DEFAMCNH_00052","","","","ALGMKNDJ_00013","JEAPEHFJ_00025","","","KGBJOEEA_00028","","","","","","","","","","","","","","NCPNAPJH_00013","NCHJCFBK_00041","ICMKHOEH_00034","","","","","NECFICIE_00013","","","","","NPFBJGGD_00034","","","","","","","MDKGMOKN_00034","","","","","PKPNPOGM_00028","","","OCHLMLOL_00034","","","","JMBMBIIH_00013","","","BMJNPGDH_00012","PPENBANP_00013","","","GBDOALGK_00013","","","","","","","","","BGEGJEIL_00091","","","","","","","NMADALPM_00025","","","","APJAMGLI_00031","","","","","","","","","","","","MHGPHFPL_00062",""
"group_54","","portal protein","21","21","1","1","889","1","286","","1364","1367","1364","","PLOJBKHJ_00044","DEFAMCNH_00042","","","","ALGMKNDJ_00003","JEAPEHFJ_00035","","","KGBJOEEA_00038","","","","","","","","","","","","","","NCPNAPJH_00003","NCHJCFBK_00051","ICMKHOEH_00044","","","","","NECFICIE_00003","","","","","NPFBJGGD_00044","","","","","","","MDKGMOKN_00044","","","","","PKPNPOGM_00038","","","OCHLMLOL_00044","","","","JMBMBIIH_00003","","","BMJNPGDH_00002","PPENBANP_00003","","","GBDOALGK_00003","","","","","","","","","BGEGJEIL_00081","","","","","","","NMADALPM_00015","","","","APJAMGLI_00021","","","","","","","","","","","","MHGPHFPL_00052",""
"group_569","","minor tail protein","21","21","1","1","1017","1","301","","1085","1085","1085","","PLOJBKHJ_00030","DEFAMCNH_00056","","","","ALGMKNDJ_00017","JEAPEHFJ_00021","","","KGBJOEEA_00024","","","","","","","","","","","","","","NCPNAPJH_00017","NCHJCFBK_00037","ICMKHOEH_00030","","","","","NECFICIE_00017","","","","","NPFBJGGD_00030","","","","","","","MDKGMOKN_00030","","","","","PKPNPOGM_00024","","","OCHLMLOL_00030","","","","JMBMBIIH_00017","","","BMJNPGDH_00016","PPENBANP_00017","","","GBDOALGK_00017","","","","","","","","","BGEGJEIL_00095","","","","","","","NMADALPM_00029","","","","APJAMGLI_00035","","","","","","","","","","","","MHGPHFPL_00066",""
"group_570","","tail assembly chaperone","21","21","1","1","896","1","294","","587","587","587","","PLOJBKHJ_00037","DEFAMCNH_00049","","","","ALGMKNDJ_00010","JEAPEHFJ_00028","","","KGBJOEEA_00031","","","","","","","","","","","","","","NCPNAPJH_00010","NCHJCFBK_00044","ICMKHOEH_00037","","","","","NECFICIE_00010","","","","","NPFBJGGD_00037","","","","","","","MDKGMOKN_00037","","","","","PKPNPOGM_00031","","","OCHLMLOL_00037","","","","JMBMBIIH_00010","","","BMJNPGDH_00009","PPENBANP_00010","","","GBDOALGK_00010","","","","","","","","","BGEGJEIL_00088","","","","","","","NMADALPM_00022","","","","APJAMGLI_00028","","","","","","","","","","","","MHGPHFPL_00059",""
"group_53","","tail assembly chaperone","20","20","1","1","897","1","295","","266","266","266","","PLOJBKHJ_00036","DEFAMCNH_00050","","","","ALGMKNDJ_00011","JEAPEHFJ_00027","","","KGBJOEEA_00030","","","","","","","","","","","","","","NCPNAPJH_00011","NCHJCFBK_00043","ICMKHOEH_00036","","","","","NECFICIE_00011","","","","","NPFBJGGD_00036","","","","","","","MDKGMOKN_00036","","","","","PKPNPOGM_00030","","","OCHLMLOL_00036","","","","","","","BMJNPGDH_00010","PPENBANP_00011","","","GBDOALGK_00011","","","","","","","","","BGEGJEIL_00089","","","","","","","NMADALPM_00023","","","","APJAMGLI_00029","","","","","","","","","","","","MHGPHFPL_00060",""
"group_1","","hypothetical protein","19","19","1","1","1056","1","1076","","389","563","407","","","","","","","","","LPPHNCFD_00017","","","","","","","","","HLBDJCJN_00048","","LPOKCGMG_00019","","","","HPFGOMPP_00041","","","","","EPCHNGHC_00020","","BKPKHGDI_00041","","HFIFPMOC_00042","","KMMKDNHJ_00020","OLCIKOGL_00019","","PJBCCOOC_00018","","LJMMJLOM_00038","NIFHHIAF_00017","PELFPOHB_00020","","","","JBNMJEOL_00026","LMNJNKND_00019","","","","MBHAFJAJ_00048","","","","","","","","","","","PGNDIKEO_00033","","","","","","","BHIFFHLE_00026","","","","CENDIJOG_00050","","","","","","","","","","","","","","","","","","","","","","",""
"group_11","","hypothetical protein","19","19","1","1","1059","1","1074","","1730","1757","1746","","","","","","","","","LPPHNCFD_00019","","","","","","","","","HLBDJCJN_00046","","LPOKCGMG_00021","","","","HPFGOMPP_00040","","","","","EPCHNGHC_00022","","BKPKHGDI_00040","","HFIFPMOC_00041","","KMMKDNHJ_00018","OLCIKOGL_00021","","PJBCCOOC_00019","","LJMMJLOM_00036","NIFHHIAF_00018","PELFPOHB_00022","","","","JBNMJEOL_00028","LMNJNKND_00021","","","","MBHAFJAJ_00046","","","","","","","","","","","PGNDIKEO_00035","","","","","","","BHIFFHLE_00027","","","","CENDIJOG_00048","","","","","","","","","","","","","","","","","","","","","","",""
"group_195","","hypothetical protein","19","19","1","1","1000","1","2200","","239","320","282","","PLOJBKHJ_00017","DEFAMCNH_00069","","","","ALGMKNDJ_00028","","","","KGBJOEEA_00011","","","","","","","","","","","","","","NCPNAPJH_00030","NCHJCFBK_00026","ICMKHOEH_00017","","","","","NECFICIE_00030","","","","","NPFBJGGD_00017","","","","","","","MDKGMOKN_00017","","","","","PKPNPOGM_00011","","","OCHLMLOL_00017","","","","JMBMBIIH_00030","","","BMJNPGDH_00029","PPENBANP_00028","","","GBDOALGK_00028","","","","","","","","","","","","","","","","NMADALPM_00053","","","","APJAMGLI_00048","","","","","","","","","","","","MHGPHFPL_00079",""
"group_202","","terminase large subunit","19","19","1","1","888","1","36","","1286","1652","1632","","PLOJBKHJ_00045","DEFAMCNH_00041","","","","ALGMKNDJ_00002","","","","KGBJOEEA_00039","","","","","","","","","","","","","","NCPNAPJH_00002","NCHJCFBK_00052","ICMKHOEH_00045","","","","","NECFICIE_00002","","","","","NPFBJGGD_00045","","","","","","","MDKGMOKN_00045","","","","","PKPNPOGM_00039","","","OCHLMLOL_00045","","","","JMBMBIIH_00002","","","BMJNPGDH_00001","PPENBANP_00002","","","GBDOALGK_00002","","","","","","","","","","","","","","","","NMADALPM_00014","","","","APJAMGLI_00020","","","","","","","","","","","","MHGPHFPL_00051",""
"group_35","","hypothetical protein","19","19","1","1","1070","1","1071","","1097","1097","1097","","","","","","","","","LPPHNCFD_00020","","","","","","","","","HLBDJCJN_00045","","LPOKCGMG_00022","","","","HPFGOMPP_00039","","","","","EPCHNGHC_00023","","BKPKHGDI_00039","","HFIFPMOC_00040","","KMMKDNHJ_00017","OLCIKOGL_00022","","PJBCCOOC_00020","","LJMMJLOM_00035","NIFHHIAF_00019","PELFPOHB_00023","","","","JBNMJEOL_00029","LMNJNKND_00022","","","","MBHAFJAJ_00045","","","","","","","","","","","PGNDIKEO_00036","","","","","","","BHIFFHLE_00028","","","","CENDIJOG_00047","","","","","","","","","","","","","","","","","","","","","","",""
"group_79","","putative tail protein","19","19","1","1","1054","1","1099","","1052","1052","1052","","","","","","","","","LPPHNCFD_00016","","","","","","","","","HLBDJCJN_00049","","LPOKCGMG_00018","","","","HPFGOMPP_00042","","","","","EPCHNGHC_00019","","BKPKHGDI_00042","","HFIFPMOC_00043","","KMMKDNHJ_00021","OLCIKOGL_00018","","PJBCCOOC_00017","","LJMMJLOM_00039","NIFHHIAF_00016","PELFPOHB_00019","","","","JBNMJEOL_00025","LMNJNKND_00018","","","","MBHAFJAJ_00049","","","","","","","","","","","PGNDIKEO_00032","","","","","","","BHIFFHLE_00025","","","","CENDIJOG_00051","","","","","","","","","","","","","","","","","","","","","","",""
"group_10","","hypothetical protein","18","18","1","1","1021","1","2171","","383","392","390","","","","","","","","","LPPHNCFD_00011","","","","","","","","","HLBDJCJN_00054","","","","","","HPFGOMPP_00047","","","","","EPCHNGHC_00014","","BKPKHGDI_00047","","HFIFPMOC_00048","","KMMKDNHJ_00026","","","PJBCCOOC_00012","","LJMMJLOM_00044","NIFHHIAF_00011","PELFPOHB_00014","","","EMFFJNDP_00052","JBNMJEOL_00020","","","","","MBHAFJAJ_00054","","","","","","","","BMJNPGDH_00020","","","PGNDIKEO_00027","","","","","","","BHIFFHLE_00020","","","","CENDIJOG_00056","","","","","","","","","","","","","","","","","","","","","","",""
"group_14","","hypothetical protein","18","18","1","1","932","1","2181","","134","170","142","","PLOJBKHJ_00025","DEFAMCNH_00061","","","","","JEAPEHFJ_00016","","","KGBJOEEA_00019","","","","","","","","","","","","","","NCPNAPJH_00022","","ICMKHOEH_00025","","","","","NECFICIE_00022","","","","","NPFBJGGD_00025","","","","","","","MDKGMOKN_00025","","","","","PKPNPOGM_00019","","","OCHLMLOL_00025","","CKOJEDDJ_00017","","JMBMBIIH_00022","","","BMJNPGDH_00021","","","","","","","","","","","","","","","","","","","","NMADALPM_00034","","","","APJAMGLI_00040","","","","","","","","","KBMEIMMN_00103","","","MHGPHFPL_00071",""
"group_203","","terminase small subunit","18","18","1","1","887","1","35","","287","458","419","","PLOJBKHJ_00046","DEFAMCNH_00040","","","","ALGMKNDJ_00001","","","","KGBJOEEA_00040","","","","","","","","","","","","","","NCPNAPJH_00001","NCHJCFBK_00053","ICMKHOEH_00046","","","","","NECFICIE_00001","","","","","NPFBJGGD_00046","","","","","","","MDKGMOKN_00046","","","","","PKPNPOGM_00040","","","OCHLMLOL_00046","","","","JMBMBIIH_00001","","","","PPENBANP_00001","","","GBDOALGK_00001","","","","","","","","","","","","","","","","NMADALPM_00013","","","","APJAMGLI_00019","","","","","","","","","","","","MHGPHFPL_00050",""
"group_51","","hypothetical protein","18","18","1","1","998","1","2220","","263","377","340","","PLOJBKHJ_00015","","","","","","JEAPEHFJ_00007","","","KGBJOEEA_00009","","","","","","","","","","","","","","NCPNAPJH_00032","","ICMKHOEH_00015","","","","","NECFICIE_00032","","","","","NPFBJGGD_00015","","","","","","","MDKGMOKN_00015","","","","","PKPNPOGM_00009","","","OCHLMLOL_00015","","CKOJEDDJ_00008","","JMBMBIIH_00032","","","BMJNPGDH_00031","","","","","","","","","","","","","","","","","","","","NMADALPM_00055","","","","","","","","","","","","","KBMEIMMN_00112","OPBPLNAK_00008","LIBCBMOH_00008","MHGPHFPL_00081",""
"group_571","","capsid protein","18","18","1","1","891","1","289","","830","830","830","","PLOJBKHJ_00042","DEFAMCNH_00044","","","","ALGMKNDJ_00005","","","","KGBJOEEA_00036","","","","","","","","","","","","","","NCPNAPJH_00005","NCHJCFBK_00049","ICMKHOEH_00042","","","","","NECFICIE_00005","","","","","NPFBJGGD_00042","","","","","","","MDKGMOKN_00042","","","","","PKPNPOGM_00036","","","OCHLMLOL_00042","","","","","","","BMJNPGDH_00004","PPENBANP_00005","","","GBDOALGK_00005","","","","","","","","","","","","","","","","NMADALPM_00017","","","","APJAMGLI_00023","","","","","","","","","","","","MHGPHFPL_00054",""
"group_149","","terminase large subunit","17","17","1","1","1087","1","1046","","1454","1454","1454","","","","","","","","","LPPHNCFD_00034","","","","","","","","","HLBDJCJN_00031","","LPOKCGMG_00036","","","","HPFGOMPP_00025","","","","","EPCHNGHC_00037","","BKPKHGDI_00025","","HFIFPMOC_00026","","KMMKDNHJ_00003","OLCIKOGL_00036","","PJBCCOOC_00034","","LJMMJLOM_00021","NIFHHIAF_00033","PELFPOHB_00037","","","","JBNMJEOL_00043","LMNJNKND_00036","","","","MBHAFJAJ_00031","","","","","","","","","","","","","","","","","","","","","","CENDIJOG_00033","","","","","","","","","","","","","","","","","","","","","","",""
"group_9","","integrase","17","17","1","1","620","1","1182","","653","893","851","","","","","","","","","LPPHNCFD_00001","","","","","","","","","HLBDJCJN_00064","","","","","","HPFGOMPP_00057","","","","","EPCHNGHC_00004","","BKPKHGDI_00057","","HFIFPMOC_00059","","KMMKDNHJ_00036","OLCIKOGL_00002","","PJBCCOOC_00001","","LJMMJLOM_00054","NIFHHIAF_00001","PELFPOHB_00004","","","","JBNMJEOL_00010","","","","","MBHAFJAJ_00064","","","","","","","","","","","PGNDIKEO_00016","","","","","","","BHIFFHLE_00010","","","","CENDIJOG_00067","","","","","","","","","","","","","","","","","","","","","","",""
"group_144","","minor tail protein","16","16","1","1","1025","1","1102","","2366","2525","2515","","","","","","","","","LPPHNCFD_00014","","","","","","","","","HLBDJCJN_00051","","","","","","HPFGOMPP_00044","","","","","EPCHNGHC_00017","","BKPKHGDI_00044","","HFIFPMOC_00045","","KMMKDNHJ_00023","","","PJBCCOOC_00015","","LJMMJLOM_00041","NIFHHIAF_00014","PELFPOHB_00017","","","","JBNMJEOL_00023","","","","","MBHAFJAJ_00051","","","","","","","","","","","PGNDIKEO_00030","","","","","","","BHIFFHLE_00023","","","","CENDIJOG_00053","","","","","","","","","","","","","","","","","","","","","","",""
"group_264","","lysin B","16","16","1","1","641","1","1235","","905","905","905","","","","","","","","","LPPHNCFD_00008","","","","","","","","","HLBDJCJN_00058","","","","","","HPFGOMPP_00051","","","","","EPCHNGHC_00010","","BKPKHGDI_00051","","HFIFPMOC_00052","","KMMKDNHJ_00030","","","PJBCCOOC_00008","","LJMMJLOM_00048","NIFHHIAF_00007","PELFPOHB_00010","","","","JBNMJEOL_00017","","","","","MBHAFJAJ_00058","","","","","","","","","","","PGNDIKEO_00023","","","","","","","BHIFFHLE_00016","","","","CENDIJOG_00060","","","","","","","","","","","","","","","","","","","","","","",""
"group_33","","hypothetical protein","16","16","1","1","1022","1","1104","","1019","1154","1137","","","","","","","","","LPPHNCFD_00012","","","","","","","","","HLBDJCJN_00053","","","","","","HPFGOMPP_00046","","","","","EPCHNGHC_00015","","BKPKHGDI_00046","","HFIFPMOC_00047","","KMMKDNHJ_00025","","","PJBCCOOC_00013","","LJMMJLOM_00043","NIFHHIAF_00012","PELFPOHB_00015","","","","JBNMJEOL_00021","","","","","MBHAFJAJ_00053","","","","","","","","","","","PGNDIKEO_00028","","","","","","","BHIFFHLE_00021","","","","CENDIJOG_00055","","","","","","","","","","","","","","","","","","","","","","",""
"group_34","","hypothetical protein","16","16","1","1","1026","1","1100","","281","281","281","","","","","","","","","LPPHNCFD_00015","","","","","","","","","HLBDJCJN_00050","","","","","","HPFGOMPP_00043","","","","","EPCHNGHC_00018","","BKPKHGDI_00043","","HFIFPMOC_00044","","KMMKDNHJ_00022","","","PJBCCOOC_00016","","LJMMJLOM_00040","NIFHHIAF_00015","PELFPOHB_00018","","","","JBNMJEOL_00024","","","","","MBHAFJAJ_00050","","","","","","","","","","","PGNDIKEO_00031","","","","","","","BHIFFHLE_00024","","","","CENDIJOG_00052","","","","","","","","","","","","","","","","","","","","","","",""
