Prophage,Cluster,AttP,Category,Contig,End,Identifier,Length,Species,Start,Unique
CF00043-00419-6-110870-176977,F,yes,4,6.0,176977,CF00043-00419,66107,MAB,110870,CF00043-00419-6-110870-176977
GCF_001606235-691746-747486,T,yes,4,,747486,GCF_001606235,55740,MAB,691746,GCF_001606235-691746-747486
CF00004-00018-31-34196-70962,A,yes,6,31.0,70962,CF00004-00018,36766,MINT,34196,CF00004-00018-31-34196-70962
CF00068-00219-26-2289-47832,K,yes,4,26.0,47832,CF00068-00219,45543,MAB,2289,CF00068-00219-26-2289-47832
CF00170-00171-9-47516-125443,M,yes,4,9.0,125443,CF00170-00171,77927,MMAS,47516,CF00170-00171-9-47516-125443
CF00158-00160-12-65990-118553,Cluster,yes,4,12.0,118553,CF00158-00160,52563,MAB,65990,CF00158-00160-12-65990-118553
CF00142-00145-11-65989-118552,Cluster,yes,4,11.0,118552,CF00142-00145,52563,MAB,65989,CF00142-00145-11-65989-118552
CF00079-00228-2-260981-325351,C,yes,5,2.0,325351,CF00079-00228,64370,MINT,260981,CF00079-00228-2-260981-325351
GCF_001606275-502290-565010,N,yes,4,,565010,GCF_001606275,62720,MAB,502290,GCF_001606275-502290-565010
CF00308-00653-13-2-39872,M,yes,4,13.0,39872,CF00308-00653,39870,MAB,2,CF00308-00653-13-2-39872
CF00026-00061-22-64122-81643,P,yes,6,22.0,81643,CF00026-00061,17521,MAB,64122,CF00026-00061-22-64122-81643
CF00764-00646-3-87223-123014,Cluster,yes,4,3.0,123014,CF00764-00646,35791,MAB,87223,CF00764-00646-3-87223-123014
GCF_000497265-1816166-1878188,F,yes,4,,1878188,GCF_000497265,62022,MAB,1816166,GCF_000497265-1816166-1878188
CF00035-00411-1-310295-372222,F,yes,4,1.0,372222,CF00035-00411,61927,MMAS,310295,CF00035-00411-1-310295-372222
GCF_001610635-1152464-1199499,F,yes,4,,1199499,GCF_001610635,47035,MAB,1152464,GCF_001610635-1152464-1199499
CF00024-00056-10-72-31029,F,yes,4,10.0,31029,CF00024-00056,30957,MMAS,72,CF00024-00056-10-72-31029
CF00042-00418-17-59-48320,F,yes,4,17.0,48320,CF00042-00418,48261,MMAS,59,CF00042-00418-17-59-48320
CF00091-00096-7-127874-176150,F,yes,4,7.0,176150,CF00091-00096,48276,MMAS,127874,CF00091-00096-7-127874-176150
CF00316-00499-14-67-48328,F,yes,4,14.0,48328,CF00316-00499,48261,MMAS,67,CF00316-00499-14-67-48328
CF00766-00648-14-52-48313,F,yes,4,14.0,48313,CF00766-00648,48261,MMAS,52,CF00766-00648-14-52-48313
CF00002-00014-8-4442-64809,Cluster,yes,5,8.0,64809,CF00002-00014,60367,MCHIM,4442,CF00002-00014-8-4442-64809
CF00034-00410-20-64194-107067,F,yes,4,20.0,107067,CF00034-00410,42873,MAB,64194,CF00034-00410-20-64194-107067
CF00154-00156-4-231149-279329,K,yes,4,4.0,279329,CF00154-00156,48180,MAB,231149,CF00154-00156-4-231149-279329
CF00053-00404-2-1109-47071,K,yes,4,2.0,47071,CF00053-00404,45962,MAB,1109,CF00053-00404-2-1109-47071
CF00160-00161-16-64181-107070,F,yes,4,16.0,107070,CF00160-00161,42889,MAB,64181,CF00160-00161-16-64181-107070
CF00026-00061-20-1-56424,K,yes,4,20.0,56424,CF00026-00061,56423,MAB,1,CF00026-00061-20-1-56424
CF00079-00228-2-178783-235835,Cluster,yes,5,2.0,235835,CF00079-00228,57052,MINT,178783,CF00079-00228-2-178783-235835
CF00103-00108-25-12275-30306,Cluster,yes,6,25.0,30306,CF00103-00108,18031,MAB,12275,CF00103-00108-25-12275-30306
CF00776-00667-30-17791-56777,Cluster,yes,6,30.0,56777,CF00776-00667,38986,MAV,17791,CF00776-00667-30-17791-56777
GCF_000014985-746705-805156,Cluster,yes,4,,805156,GCF_000014985,58451,MAV,746705,GCF_000014985-746705-805156
CF00795-00699-30-1477-27922,Cluster,yes,6,30.0,27922,CF00795-00699,26445,MAB,1477,CF00795-00699-30-1477-27922
CF00765-00647-21-56449-89354,Cluster,yes,6,21.0,89354,CF00765-00647,32905,MBOL,56449,CF00765-00647-21-56449-89354
CF00032-00408-4-189404-215826,Cluster,yes,6,4.0,215826,CF00032-00408,26422,MAB,189404,CF00032-00408-4-189404-215826
