"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","C1","C10","C11","C12","C13","C14","C15","C16","C17","C18","C19","C2","C20","C21","C22","C23","C24","C25","C26","C27","C28","C29","C3","C30","C4","C5","C6","C7","C8","C9"
"group_7","","integrase","6","6","1","1","50","1","365","","779","893","854","","","BKPKHGDI_00057","KMMKDNHJ_00036","OLCIKOGL_00002","","","JBNMJEOL_00010","","","","","","PGNDIKEO_00016","","","","","","","","","","","","","","","HPFGOMPP_00057",""
"group_24","","hypothetical protein","5","5","1","1","20","1","325","","281","281","281","","","BKPKHGDI_00043","KMMKDNHJ_00022","","","","JBNMJEOL_00024","","","","","","PGNDIKEO_00031","","","","","","","","","","","","","","","HPFGOMPP_00043",""
"group_25","","hypothetical protein","5","5","1","1","17","1","321","","1019","1154","1127","","","BKPKHGDI_00046","KMMKDNHJ_00025","","","","JBNMJEOL_00021","","","","","","PGNDIKEO_00028","","","","","","","","","","","","","","","HPFGOMPP_00046",""
"group_26","","hypothetical protein","5","5","1","1","15","1","320","","383","392","390","","","BKPKHGDI_00047","KMMKDNHJ_00026","","","","JBNMJEOL_00020","","","","","","PGNDIKEO_00027","","","","","","","","","","","","","","","HPFGOMPP_00047",""
"group_264","","hypothetical protein","5","5","1","1","12","1","316","","3137","3137","3137","","","BKPKHGDI_00038","KMMKDNHJ_00016","","","","JBNMJEOL_00030","","","","","","PGNDIKEO_00037","","","","","","","","","","","","","","","HPFGOMPP_00038",""
"group_265","","minor tail protein","5","5","1","1","19","1","324","","2525","2525","2525","","","BKPKHGDI_00044","KMMKDNHJ_00023","","","","JBNMJEOL_00023","","","","","","PGNDIKEO_00030","","","","","","","","","","","","","","","HPFGOMPP_00044",""
"group_29","","hypothetical protein","5","5","1","1","53","1","366","","305","305","305","","","BKPKHGDI_00056","","","","","","LMNJNKND_00003","","","","","PGNDIKEO_00017","","","","","","","","","","","","","LPOKCGMG_00003","","HPFGOMPP_00056",""
"group_299","","phage integrase","5","5","1","4","167","4","221","","1334","1334","1334","","","","","","JCFLIBBE_00001","","","","OECDBAHF_00001","GJFOIMLP_00062","","LJPMGBPL_00061","","","","","","","","","","FPLIBPMM_00016","","","","","","",""
"dehH1","","Haloacetate dehalogenase H-1","5","5","1","4","168","4","222","","773","773","773","","","","","","JCFLIBBE_00002","","","","OECDBAHF_00002","GJFOIMLP_00061","","LJPMGBPL_00060","","","","","","","","","","FPLIBPMM_00017","","","","","","",""
"group_301","","hypothetical protein","5","5","1","4","169","4","223","","713","713","713","","","","","","JCFLIBBE_00003","","","","OECDBAHF_00003","GJFOIMLP_00060","","LJPMGBPL_00059","","","","","","","","","","FPLIBPMM_00018","","","","","","",""
"group_302","","hypothetical protein","5","5","1","4","171","4","224","","278","278","278","","","","","","JCFLIBBE_00004","","","","OECDBAHF_00004","GJFOIMLP_00059","","LJPMGBPL_00058","","","","","","","","","","FPLIBPMM_00019","","","","","","",""
"group_303","","hypothetical protein","5","5","1","4","175","4","228","","278","278","278","","","","","","JCFLIBBE_00008","","","","OECDBAHF_00008","GJFOIMLP_00054","","LJPMGBPL_00053","","","","","","","","","","FPLIBPMM_00023","","","","","","",""
"group_304","","hypothetical protein","5","5","1","4","177","4","230","","311","311","311","","","","","","JCFLIBBE_00010","","","","OECDBAHF_00010","GJFOIMLP_00052","","LJPMGBPL_00051","","","","","","","","","","FPLIBPMM_00025","","","","","","",""
"group_305","","RecE-like exonuclease","5","5","1","4","180","4","233","","959","959","959","","","","","","JCFLIBBE_00013","","","","OECDBAHF_00013","GJFOIMLP_00049","","LJPMGBPL_00047","","","","","","","","","","FPLIBPMM_00029","","","","","","",""
"group_306","","ssDNA binding protein","5","5","1","4","181","4","234","","1217","1217","1217","","","","","","JCFLIBBE_00014","","","","OECDBAHF_00014","GJFOIMLP_00048","","LJPMGBPL_00046","","","","","","","","","","FPLIBPMM_00030","","","","","","",""
"group_307","","hypothetical protein","5","5","1","4","182","4","235","","257","257","257","","","","","","JCFLIBBE_00015","","","","OECDBAHF_00015","GJFOIMLP_00047","","LJPMGBPL_00045","","","","","","","","","","FPLIBPMM_00031","","","","","","",""
"group_308","","hypothetical protein","5","5","1","4","183","4","236","","377","377","377","","","","","","JCFLIBBE_00016","","","","OECDBAHF_00016","GJFOIMLP_00046","","LJPMGBPL_00044","","","","","","","","","","FPLIBPMM_00032","","","","","","",""
"group_309","","hypothetical protein","5","5","1","4","184","4","237","","164","164","164","","","","","","JCFLIBBE_00017","","","","OECDBAHF_00017","GJFOIMLP_00045","","LJPMGBPL_00043","","","","","","","","","","FPLIBPMM_00033","","","","","","",""
"group_310","","hypothetical protein","5","5","1","4","186","4","239","","314","314","314","","","","","","JCFLIBBE_00019","","","","OECDBAHF_00019","GJFOIMLP_00043","","LJPMGBPL_00041","","","","","","","","","","FPLIBPMM_00035","","","","","","",""
"group_311","","hypothetical protein","5","5","1","4","187","4","240","","224","224","224","","","","","","JCFLIBBE_00020","","","","OECDBAHF_00020","GJFOIMLP_00042","","LJPMGBPL_00040","","","","","","","","","","FPLIBPMM_00036","","","","","","",""
"group_312","","exonuclease","5","5","1","4","195","4","248","","605","605","605","","","","","","JCFLIBBE_00023","","","","OECDBAHF_00023","GJFOIMLP_00034","","LJPMGBPL_00032","","","","","","","","","","FPLIBPMM_00044","","","","","","",""
"group_32","","hypothetical protein","5","5","1","4","444","4","485","","620","776","741","","","","","","JCFLIBBE_00028","","","","OECDBAHF_00028","GJFOIMLP_00029","","LJPMGBPL_00030","","","","","","","","","","","","EMCAFMOK_00030","","","","",""
"group_403","","tRNA-Asp(gtc)","5","5","1","1","396","1","128","","76","76","76","","","","","","","","","LMNJNKND_00060","","","","","","GJIGBABJ_00003","","","","","","PMLJKELD_00136","LPAKEKCL_00139","","","","","LPOKCGMG_00060","","",""
"group_42","","tRNA-Ala(ggc)","5","5","1","4","488","4","92","","73","75","74","","BENEPOLG_00030","","","","","AOBAIHMC_00011","","","","","","","","","NDJLMKCL_00030","","","","","","","","","","CKPHLDKH_00011","","IHAKHGPK_00062","",""
"group_52","","hypothetical protein","5","5","1","1","429","1","437","","269","293","278","","","BKPKHGDI_00022","","","","","JBNMJEOL_00046","LMNJNKND_00039","","","","","","","","","","","","","","","","","","LPOKCGMG_00039","","HPFGOMPP_00022",""
"group_60","","LysA","5","5","1","1","64","1","380","","1241","1274","1247","","","BKPKHGDI_00050","KMMKDNHJ_00029","","","","JBNMJEOL_00018","","","","","","PGNDIKEO_00024","","","","","","","","","","","","","","","HPFGOMPP_00050",""
"group_8","","hypothetical protein","5","5","1","4","385","4","440","","320","320","320","","","","","","JCFLIBBE_00072","","","","OECDBAHF_00072","","","","","","","HMEBHMNJ_00005","","","MHHMIPMO_00113","","","","","EMCAFMOK_00080","","","","",""
"group_80","","hypothetical protein","5","5","1","4","172","4","225","","320","323","321","","","","","","JCFLIBBE_00005","","","","OECDBAHF_00005","GJFOIMLP_00057","","LJPMGBPL_00056","","","","","","","","","","FPLIBPMM_00020","","","","","","",""
"group_81","","hypothetical protein","5","5","1","4","173","4","226","","146","146","146","","","","","","JCFLIBBE_00006","","","","OECDBAHF_00006","GJFOIMLP_00056","","LJPMGBPL_00055","","","","","","","","","","FPLIBPMM_00021","","","","","","",""
"group_82","","hypothetical protein","5","5","1","4","174","4","227","","413","413","413","","","","","","JCFLIBBE_00007","","","","OECDBAHF_00007","GJFOIMLP_00055","","LJPMGBPL_00054","","","","","","","","","","FPLIBPMM_00022","","","","","","",""
"group_83","","hypothetical protein","5","5","1","4","176","4","229","","263","263","263","","","","","","JCFLIBBE_00009","","","","OECDBAHF_00009","GJFOIMLP_00053","","LJPMGBPL_00052","","","","","","","","","","FPLIBPMM_00024","","","","","","",""
"group_84","","hypothetical protein","5","5","1","4","178","4","231","","410","410","410","","","","","","JCFLIBBE_00011","","","","OECDBAHF_00011","GJFOIMLP_00051","","LJPMGBPL_00050","","","","","","","","","","FPLIBPMM_00026","","","","","","",""
"group_85","","hypothetical protein","5","5","1","4","179","4","232","","149","149","149","","","","","","JCFLIBBE_00012","","","","OECDBAHF_00012","GJFOIMLP_00050","","LJPMGBPL_00048","","","","","","","","","","FPLIBPMM_00028","","","","","","",""
"group_86","","hypothetical protein","5","5","1","4","185","4","238","","242","242","242","","","","","","JCFLIBBE_00018","","","","OECDBAHF_00018","GJFOIMLP_00044","","LJPMGBPL_00042","","","","","","","","","","FPLIBPMM_00034","","","","","","",""
"group_87","","RuvC-like resolvase","5","5","1","4","188","4","241","","632","632","632","","","","","","JCFLIBBE_00021","","","","OECDBAHF_00021","GJFOIMLP_00041","","LJPMGBPL_00039","","","","","","","","","","FPLIBPMM_00037","","","","","","",""
"group_88","","hypothetical protein","5","5","1","4","194","4","247","","149","167","163","","","","","","JCFLIBBE_00022","","","","OECDBAHF_00022","GJFOIMLP_00035","","LJPMGBPL_00033","","","","","","","","","","FPLIBPMM_00043","","","","","","",""
"group_10","","hypothetical protein","4","4","1","4","137","4","177","","332","332","332","","","","","","","","","","","","","","","","","HMEBHMNJ_00070","NOCCGNBF_00024","","","","","","","EMCAFMOK_00010","","","","","DKHLLNMB_00013"
"group_100","","hypothetical protein","4","4","1","4","424","4","465","","257","257","257","","","","","","JCFLIBBE_00048","","","","OECDBAHF_00048","GJFOIMLP_00009","","LJPMGBPL_00010","","","","","","","","","","","","","","","","",""
"group_101","","major tail protein","4","4","1","4","419","4","460","","998","998","998","","","","","","JCFLIBBE_00053","","","","OECDBAHF_00053","GJFOIMLP_00004","","LJPMGBPL_00005","","","","","","","","","","","","","","","","",""
"group_11","","hypothetical protein","4","4","1","4","136","4","176","","209","218","215","","","","","","","","","","","","","","","","","HMEBHMNJ_00071","NOCCGNBF_00023","","","","","","","EMCAFMOK_00009","","","","","DKHLLNMB_00012"
"group_114","","tRNA-Lys(ttt)","4","4","1","1","410","1","294","","73","75","74","","","","","","","","","LMNJNKND_00058","","","","","","GJIGBABJ_00005","","","","HNEDNBGA_00066","","","","","","","","LPOKCGMG_00058","","",""
"group_115","","integrase","4","4","1","1","269","1","127","","722","1154","938","","","","","","","","","LMNJNKND_00062","","","","","","","","","","","","PMLJKELD_00138","LPAKEKCL_00141","","","","","LPOKCGMG_00062","","",""
"group_12","","integrase","4","4","1","4","113","4","146","","1133","1208","1170","","","","","","","","","","","","","","","","","HMEBHMNJ_00083","NOCCGNBF_00013","","","","","","","EMCAFMOK_00001","","","","","DKHLLNMB_00001"
"group_13","","HNH endonuclease","4","4","1","4","203","4","490","","362","362","362","","BENEPOLG_00003","","","","","AOBAIHMC_00037","","","","","","","","","NDJLMKCL_00003","","","","","","","","","","CKPHLDKH_00037","","","",""
"group_14","","hypothetical protein","4","4","1","4","457","4","124","","242","242","242","","BENEPOLG_00010","","","","","AOBAIHMC_00031","","","","","","","","","NDJLMKCL_00010","","","","","","","","","","CKPHLDKH_00031","","","",""
"group_140","","hypothetical protein","4","4","1","4","148","4","190","","578","581","580","","","","","","","","","","","","","","","","","HMEBHMNJ_00061","NOCCGNBF_00035","","","","","","","EMCAFMOK_00021","","","","","DKHLLNMB_00022"
"group_141","","hypothetical protein","4","4","1","4","146","4","187","","407","407","407","","","","","","","","","","","","","","","","","HMEBHMNJ_00063","NOCCGNBF_00033","","","","","","","EMCAFMOK_00019","","","","","DKHLLNMB_00020"
"group_142","","hypothetical protein","4","4","1","4","142","4","184","","239","239","239","","","","","","","","","","","","","","","","","HMEBHMNJ_00066","NOCCGNBF_00030","","","","","","","EMCAFMOK_00016","","","","","DKHLLNMB_00017"
"group_143","","RecT","4","4","1","4","141","4","182","","1217","1220","1217","","","","","","","","","","","","","","","","","HMEBHMNJ_00067","NOCCGNBF_00029","","","","","","","EMCAFMOK_00015","","","","","DKHLLNMB_00016"
"group_15","","resolvase","4","4","1","4","458","4","123","","431","431","431","","BENEPOLG_00011","","","","","AOBAIHMC_00030","","","","","","","","","NDJLMKCL_00011","","","","","","","","","","CKPHLDKH_00030","","","",""
"group_16","","hypothetical protein","4","4","1","4","479","4","102","","284","284","284","","BENEPOLG_00022","","","","","AOBAIHMC_00019","","","","","","","","","NDJLMKCL_00022","","","","","","","","","","CKPHLDKH_00019","","","",""
"group_17","","helix-turn-helix DNA binding domain protein","4","4","1","4","482","4","99","","287","290","289","","BENEPOLG_00025","","","","","AOBAIHMC_00016","","","","","","","","","NDJLMKCL_00025","","","","","","","","","","CKPHLDKH_00016","","","",""
"group_18","","hypothetical protein","4","4","1","1","115","1","411","","395","395","395","","","BKPKHGDI_00024","KMMKDNHJ_00002","","","","JBNMJEOL_00044","","","","","","","","","","","","","","","","","","","","","HPFGOMPP_00024",""
"group_19","","capsid maturation protease","4","4","1","1","9","1","312","","872","872","872","","","BKPKHGDI_00027","KMMKDNHJ_00005","","","","JBNMJEOL_00041","","","","","","","","","","","","","","","","","","","","","HPFGOMPP_00027",""
"group_20","","head-to-tail adaptor","4","4","1","1","108","1","308","","497","497","497","","","BKPKHGDI_00031","KMMKDNHJ_00009","","","","JBNMJEOL_00037","","","","","","","","","","","","","","","","","","","","","HPFGOMPP_00031",""
"group_21","","hypothetical protein","4","4","1","1","104","1","302","","425","425","425","","","BKPKHGDI_00034","KMMKDNHJ_00012","","","","JBNMJEOL_00034","","","","","","","","","","","","","","","","","","","","","HPFGOMPP_00034",""
"group_22","","hypothetical protein","4","4","1","1","103","1","301","","860","860","860","","","BKPKHGDI_00035","KMMKDNHJ_00013","","","","JBNMJEOL_00033","","","","","","","","","","","","","","","","","","","","","HPFGOMPP_00035",""
"group_23","","putative tail assembly protein","4","4","1","1","102","1","300","","491","491","491","","","BKPKHGDI_00036","KMMKDNHJ_00014","","","","JBNMJEOL_00032","","","","","","","","","","","","","","","","","","","","","HPFGOMPP_00036",""
"group_246","","Cro protein","4","4","1","4","483","4","96","","275","275","275","","BENEPOLG_00026","","","","","AOBAIHMC_00015","","","","","","","","","NDJLMKCL_00026","","","","","","","","","","CKPHLDKH_00015","","","",""
"group_247","","hypothetical protein","4","4","1","4","484","4","95","","404","404","404","","BENEPOLG_00027","","","","","AOBAIHMC_00014","","","","","","","","","NDJLMKCL_00027","","","","","","","","","","CKPHLDKH_00014","","","",""
"group_261","","terminase small subunit","4","4","1","1","116","1","412","","428","428","428","","","BKPKHGDI_00023","KMMKDNHJ_00001","","","","JBNMJEOL_00045","","","","","","","","","","","","","","","","","","","","","HPFGOMPP_00023",""
"group_263","","hypothetical protein","4","4","1","1","101","1","299","","293","293","293","","","BKPKHGDI_00037","KMMKDNHJ_00015","","","","JBNMJEOL_00031","","","","","","","","","","","","","","","","","","","","","HPFGOMPP_00037",""
"group_28","","hypothetical protein","4","4","1","1","22","1","371","","317","323","318","","","BKPKHGDI_00053","","OLCIKOGL_00007","","","","","","","","","PGNDIKEO_00021","","","","","","","","","","","","","","","HPFGOMPP_00053",""
"whiB","","Transcriptional regulator WhiB","4","4","1","4","442","4","483","","413","413","413","","","","","","JCFLIBBE_00030","","","","OECDBAHF_00030","GJFOIMLP_00027","","LJPMGBPL_00028","","","","","","","","","","","","","","","","",""
"group_314","","hypothetical protein","4","4","1","4","441","4","482","","905","905","905","","","","","","JCFLIBBE_00031","","","","OECDBAHF_00031","GJFOIMLP_00026","","LJPMGBPL_00027","","","","","","","","","","","","","","","","",""
"group_315","","hypothetical protein","4","4","1","4","440","4","481","","299","299","299","","","","","","JCFLIBBE_00032","","","","OECDBAHF_00032","GJFOIMLP_00025","","LJPMGBPL_00026","","","","","","","","","","","","","","","","",""
"group_316","","hypothetical protein","4","4","1","4","436","4","477","","170","170","170","","","","","","JCFLIBBE_00036","","","","OECDBAHF_00036","GJFOIMLP_00021","","LJPMGBPL_00022","","","","","","","","","","","","","","","","",""
"group_317","","hypothetical protein","4","4","1","4","435","4","476","","1448","1448","1448","","","","","","JCFLIBBE_00037","","","","OECDBAHF_00037","GJFOIMLP_00020","","LJPMGBPL_00021","","","","","","","","","","","","","","","","",""
"group_318","","hypothetical protein","4","4","1","4","434","4","475","","434","434","434","","","","","","JCFLIBBE_00038","","","","OECDBAHF_00038","GJFOIMLP_00019","","LJPMGBPL_00020","","","","","","","","","","","","","","","","",""
"group_319","","hypothetical protein","4","4","1","4","433","4","474","","236","236","236","","","","","","JCFLIBBE_00039","","","","OECDBAHF_00039","GJFOIMLP_00018","","LJPMGBPL_00019","","","","","","","","","","","","","","","","",""
"group_320","","hypothetical protein","4","4","1","4","432","4","473","","371","371","371","","","","","","JCFLIBBE_00040","","","","OECDBAHF_00040","GJFOIMLP_00017","","LJPMGBPL_00018","","","","","","","","","","","","","","","","",""
"group_321","","portal protein","4","4","1","4","429","4","470","","1406","1406","1406","","","","","","JCFLIBBE_00043","","","","OECDBAHF_00043","GJFOIMLP_00014","","LJPMGBPL_00015","","","","","","","","","","","","","","","","",""
"group_322","","major capsid protein","4","4","1","4","426","4","467","","905","905","905","","","","","","JCFLIBBE_00046","","","","OECDBAHF_00046","GJFOIMLP_00011","","LJPMGBPL_00012","","","","","","","","","","","","","","","","",""
"group_323","","head-to-tail adaptor","4","4","1","4","423","4","464","","368","368","368","","","","","","JCFLIBBE_00049","","","","OECDBAHF_00049","GJFOIMLP_00008","","LJPMGBPL_00009","","","","","","","","","","","","","","","","",""
"group_324","","head-to-tail stopper","4","4","1","4","422","4","463","","419","419","419","","","","","","JCFLIBBE_00050","","","","OECDBAHF_00050","GJFOIMLP_00007","","LJPMGBPL_00008","","","","","","","","","","","","","","","","",""
"group_325","","hypothetical protein","4","4","1","4","421","4","462","","311","311","311","","","","","","JCFLIBBE_00051","","","","OECDBAHF_00051","GJFOIMLP_00006","","LJPMGBPL_00007","","","","","","","","","","","","","","","","",""
"group_326","","tail terminator","4","4","1","4","420","4","461","","446","446","446","","","","","","JCFLIBBE_00052","","","","OECDBAHF_00052","GJFOIMLP_00005","","LJPMGBPL_00006","","","","","","","","","","","","","","","","",""
"group_40","","hypothetical protein","4","4","1","4","476","4","103","","374","389","381","","BENEPOLG_00021","","","","","AOBAIHMC_00020","","","","","","","","","NDJLMKCL_00021","","","","","","","","","","CKPHLDKH_00020","","","",""
"group_41","","hypothetical protein","4","4","1","4","485","4","94","","653","734","713","","BENEPOLG_00028","","","","","AOBAIHMC_00013","","","","","","","","","NDJLMKCL_00028","","","","","","","","","","CKPHLDKH_00013","","","",""
"tetA","","Tetracycline resistance protein, class B","4","4","1","4","489","4","18","","713","1283","1138","","BENEPOLG_00031","","","","","AOBAIHMC_00010","","","","","","","","","NDJLMKCL_00031","","","","","","","","","","CKPHLDKH_00010","","","",""
"group_56","","hypothetical protein","4","4","1","1","106","1","304","","344","344","344","","","BKPKHGDI_00032","KMMKDNHJ_00010","","","","JBNMJEOL_00036","","","","","","","","","","","","","","","","","","","","","HPFGOMPP_00032",""
"group_57","","hypothetical protein","4","4","1","1","105","1","303","","278","278","278","","","BKPKHGDI_00033","KMMKDNHJ_00011","","","","JBNMJEOL_00035","","","","","","","","","","","","","","","","","","","","","HPFGOMPP_00033",""
"group_59","","hypothetical protein","4","4","1","1","62","1","376","","146","146","146","","","BKPKHGDI_00048","KMMKDNHJ_00027","","","","JBNMJEOL_00019","","","","","","","","","","","","","","","","","","","","","HPFGOMPP_00048",""
"group_607","","hypothetical protein","4","4","1","4","147","4","188","","260","260","260","","","","","","","","","","","","","","","","","HMEBHMNJ_00062","NOCCGNBF_00034","","","","","","","EMCAFMOK_00020","","","","","DKHLLNMB_00021"
"group_608","","hypothetical protein","4","4","1","4","145","4","186","","560","560","560","","","","","","","","","","","","","","","","","HMEBHMNJ_00064","NOCCGNBF_00032","","","","","","","EMCAFMOK_00018","","","","","DKHLLNMB_00019"
"group_61","","hypothetical protein","4","4","1","1","72","1","375","","227","227","227","","","BKPKHGDI_00052","","","","","JBNMJEOL_00016","","","","","","PGNDIKEO_00022","","","","","","","","","","","","","","","HPFGOMPP_00052",""
"group_637","","RecE-like exonuclease","4","4","1","4","140","4","181","","956","959","958","","","","","","","","","","","","","","","","","HMEBHMNJ_00068","NOCCGNBF_00028","","","","","","","EMCAFMOK_00014","","","","","DKHLLNMB_00015"
"group_89","","hypothetical protein","4","4","1","4","202","4","488","","341","437","365","","","","","","JCFLIBBE_00026","","","","OECDBAHF_00026","GJFOIMLP_00031","","","","","NDJLMKCL_00002","","","","","","","","","","","","","",""
"group_9","","hypothetical protein","4","4","1","4","138","4","178","","203","203","203","","","","","","","","","","","","","","","","","HMEBHMNJ_00069","NOCCGNBF_00025","","","","","","","EMCAFMOK_00011","","","","","DKHLLNMB_00014"
"group_90","","hypothetical protein","4","4","1","4","445","4","486","","944","944","944","","","","","","JCFLIBBE_00027","","","","OECDBAHF_00027","GJFOIMLP_00030","","","","","","","","","","","","","","EMCAFMOK_00029","","","","",""
"group_91","","hypothetical protein","4","4","1","4","443","4","484","","269","269","269","","","","","","JCFLIBBE_00029","","","","OECDBAHF_00029","GJFOIMLP_00028","","LJPMGBPL_00029","","","","","","","","","","","","","","","","",""
"group_92","","hypothetical protein","4","4","1","4","439","4","480","","422","422","422","","","","","","JCFLIBBE_00033","","","","OECDBAHF_00033","GJFOIMLP_00024","","LJPMGBPL_00025","","","","","","","","","","","","","","","","",""
"group_93","","hypothetical protein","4","4","1","4","438","4","479","","137","137","137","","","","","","JCFLIBBE_00034","","","","OECDBAHF_00034","GJFOIMLP_00023","","LJPMGBPL_00024","","","","","","","","","","","","","","","","",""
"group_94","","hypothetical protein","4","4","1","4","437","4","478","","680","722","711","","","","","","JCFLIBBE_00035","","","","OECDBAHF_00035","GJFOIMLP_00022","","LJPMGBPL_00023","","","","","","","","","","","","","","","","",""
"group_95","","terminase small subunit","4","4","1","4","431","4","472","","320","341","330","","","","","","JCFLIBBE_00041","","","","OECDBAHF_00041","GJFOIMLP_00016","","LJPMGBPL_00017","","","","","","","","","","","","","","","","",""
"group_96","","terminase large subunit","4","4","1","4","430","4","471","","1448","1448","1448","","","","","","JCFLIBBE_00042","","","","OECDBAHF_00042","GJFOIMLP_00015","","LJPMGBPL_00016","","","","","","","","","","","","","","","","",""
"group_97","","capsid maturation protease","4","4","1","4","428","4","469","","1265","1265","1265","","","","","","JCFLIBBE_00044","","","","OECDBAHF_00044","GJFOIMLP_00013","","LJPMGBPL_00014","","","","","","","","","","","","","","","","",""
"group_98","","hypothetical protein","4","4","1","4","427","4","468","","380","380","380","","","","","","JCFLIBBE_00045","","","","OECDBAHF_00045","GJFOIMLP_00012","","LJPMGBPL_00013","","","","","","","","","","","","","","","","",""
"group_99","","hypothetical protein","4","4","1","4","425","4","466","","377","380","378","","","","","","JCFLIBBE_00047","","","","OECDBAHF_00047","GJFOIMLP_00010","","LJPMGBPL_00011","","","","","","","","","","","","","","","","",""
"group_102","","hypothetical protein","3","3","1","4","411","4","452","","1727","1736","1730","","","","","","JCFLIBBE_00061","","","","OECDBAHF_00061","","","","","","","","","","","","","","","EMCAFMOK_00066","","","","",""
"group_103","","hypothetical protein","3","3","1","4","410","4","451","","407","407","407","","","","","","JCFLIBBE_00062","","","","OECDBAHF_00062","","","","","","","","","","","","","","","EMCAFMOK_00067","","","","",""
"group_104","","lysin A","3","3","1","4","406","4","447","","1499","1502","1501","","","","","","JCFLIBBE_00065","","","","OECDBAHF_00065","","","","","","","","","","","","","","","EMCAFMOK_00070","","","","",""
"group_105","","lysin B","3","3","1","4","404","4","446","","1166","1166","1166","","","","","","JCFLIBBE_00066","","","","OECDBAHF_00066","","","","","","","","","","","","","","","EMCAFMOK_00071","","","","",""
"pgm","","Virulent VFDB|VFG013327 phosphomannomutase [Haemophilus influenzae Rd KW20]","3","3","1","4","490","4","17","","1571","1631","1611","","","","","","","AOBAIHMC_00009","","","","","","","","","NDJLMKCL_00032","","","","","","","","","","CKPHLDKH_00009","","","",""
"group_107","","hypothetical protein","3","3","1","4","480","4","101","","263","263","263","","","","","","","AOBAIHMC_00018","","","","","","","","","NDJLMKCL_00023","","","","","","","","","","CKPHLDKH_00018","","","",""
"group_108","","FtsK-like DNA translocase","3","3","1","4","465","4","121","","1061","1064","1063","","","","","","","AOBAIHMC_00029","","","","","","","","","NDJLMKCL_00012","","","","","","","","","","CKPHLDKH_00029","","","",""
